image1_image2,label
7493_4559,same
10559_4790,diff
5211_2899,diff
3916_12128,same
2000_3803,same
89_5331,diff
2559_10113,same
12597_11105,same
2381_7632,diff
8422_720,same
605_12816,same
2397_11369,diff
4277_265,diff
6569_11597,same
8468_4962,diff
10614_10680,diff
3682_12602,diff
12823_1245,same
11862_9042,diff
8728_12338,diff
13192_11711,same
12927_12271,same
10612_13030,diff
6114_12397,same
3845_9087,same
4963_4008,same
10479_10454,diff
8018_8932,diff
4677_2901,diff
345_2300,same
1050_11911,same
9492_10668,diff
7848_5336,same
11619_545,same
8721_7530,same
7089_7965,same
1352_8715,diff
12241_7934,same
8674_2816,same
12720_5945,same
5556_1193,diff
9538_11262,same
3995_1010,diff
8057_8968,same
10524_6124,same
5670_1328,diff
11592_5537,diff
11010_5926,same
5127_2522,diff
676_4174,diff
2872_3354,diff
7678_2985,same
1152_7759,same
11569_583,same
7936_11999,same
3116_2399,same
7448_5046,same
9087_6980,diff
1989_8049,diff
1500_3672,same
11124_8205,diff
8735_9483,diff
7978_4366,diff
4677_8529,diff
6611_4776,diff
6621_4692,same
4664_1012,diff
8711_9986,same
10705_1043,same
7469_10113,same
10705_1817,same
10739_11191,diff
4574_9474,diff
12358_8131,diff
4668_12100,diff
8649_439,diff
3937_865,diff
1020_6470,same
12074_4927,same
8323_11622,same
1604_413,diff
8733_7704,diff
5898_10481,diff
1363_3842,same
5183_9167,diff
3741_8493,diff
235_7246,diff
1541_9840,same
8571_1663,same
7470_7066,diff
4070_7764,same
777_31,diff
9536_11206,same
1274_9420,diff
1991_10773,diff
4945_9173,same
5038_2549,same
12568_9359,same
807_2894,same
3652_1527,same
11415_13009,diff
8817_9223,diff
8208_10166,same
6073_5948,diff
11579_12576,diff
7205_2493,same
8496_12872,same
991_6611,diff
1708_3617,diff
5355_13180,same
4591_1660,same
10260_12645,diff
11260_5465,same
8552_11771,same
10970_10446,diff
11322_381,diff
11501_7791,same
7632_3711,diff
9283_3342,diff
13132_8850,diff
2912_12231,same
3875_10031,diff
10192_6052,same
12641_11762,diff
10106_3121,same
1368_11119,diff
1185_11024,diff
4264_8169,same
10430_5774,same
11878_2080,diff
9185_9643,same
4378_8588,same
10984_10273,diff
7507_5571,diff
11046_6081,diff
9630_12923,same
68_2950,same
9342_7387,diff
8464_6199,diff
11881_3352,diff
12183_7416,diff
7899_10793,diff
5866_6772,same
11991_6672,same
3482_154,same
1384_5475,diff
590_12141,diff
12684_11463,diff
2624_6604,diff
13095_4174,diff
9074_234,diff
5246_6909,same
7050_12385,diff
11141_10089,same
8365_2592,same
3136_8233,diff
10432_10218,diff
11799_1820,diff
4234_7794,same
873_10979,same
12235_12154,same
3134_9162,same
2240_13179,same
1750_1553,same
2249_7277,same
11112_8200,same
9083_7805,diff
9487_1694,diff
10703_6470,same
5151_8475,diff
2921_6798,diff
1087_11339,same
10118_4630,same
10975_8384,same
156_6919,diff
10571_12976,diff
4202_8045,same
1142_11235,same
4441_12427,same
3937_2973,same
5045_11144,diff
5715_11240,same
4520_17,diff
9569_25,diff
5518_8655,same
4915_879,diff
5317_2116,same
3950_6665,diff
5388_10776,same
7929_6576,diff
1424_11233,same
5655_689,same
10869_6358,diff
4755_3424,same
6861_10452,same
760_6598,same
7148_4418,diff
9236_8124,diff
2859_3881,same
7738_500,diff
8718_2966,diff
6618_8955,same
4254_8834,same
7965_6547,diff
3506_4289,same
2353_2230,diff
2279_3340,diff
10286_5042,same
844_10214,same
10457_2865,diff
2080_5838,diff
6891_12232,diff
416_11105,diff
11653_4005,same
4310_2716,same
11046_1321,diff
667_3931,same
12044_10446,diff
3093_12726,diff
4110_9210,same
4190_5456,same
4417_1076,diff
8465_11408,same
6069_11699,diff
4031_10080,diff
4506_6665,same
4571_9726,diff
676_12869,same
12589_9470,same
5386_4014,same
6101_7649,diff
8180_3964,diff
2613_12250,diff
11596_10332,same
8192_8625,diff
8118_7835,diff
8529_5029,same
6495_11955,diff
10627_468,diff
4161_11303,same
13217_12250,diff
7289_12645,diff
11151_3052,diff
9183_6617,diff
5934_3506,same
3561_130,diff
2139_9877,diff
8101_4775,diff
8807_6995,diff
5331_4544,same
5872_3631,same
7658_5807,diff
9946_4585,same
9974_1121,diff
5606_7948,same
3505_9147,same
9872_5437,diff
11358_6875,diff
12408_4912,diff
7132_6088,same
6278_12548,diff
2758_10549,diff
12533_1283,same
6230_11378,same
12019_10672,diff
4243_4294,diff
3986_2330,same
7695_10554,same
6028_2873,diff
10121_7984,same
6706_1784,diff
437_2749,diff
948_10640,same
4516_3550,same
11519_300,diff
11056_1036,same
4217_9322,diff
4617_1647,diff
2030_2613,diff
1420_9720,diff
7985_12738,same
4815_5104,diff
2733_6173,diff
695_3319,diff
12778_10467,diff
2318_12043,diff
11358_8931,diff
4779_11356,same
12446_4752,same
11880_8373,same
7593_11976,diff
11140_10957,diff
3814_8905,diff
2327_11169,same
6492_9153,diff
2042_11943,diff
2274_12155,diff
4584_4027,diff
536_6129,same
5213_12500,diff
5271_7274,same
9906_12036,same
12526_4813,diff
5313_1763,same
10675_853,diff
13069_8068,diff
7050_7508,same
8645_4731,same
1375_11693,same
11253_11612,same
10256_1644,diff
5060_10660,same
13006_10478,same
12664_1879,same
9074_139,diff
4953_7365,diff
10580_4391,same
6555_8719,diff
783_2727,diff
2911_3458,diff
5316_4301,diff
6288_9297,same
2676_1212,same
10611_1489,same
5706_9313,diff
3124_9470,same
1485_4047,diff
1777_10924,same
4912_8975,same
7429_225,same
3706_6049,diff
4232_7092,diff
12930_4575,diff
158_5165,diff
9987_2813,same
13086_7154,same
3730_1751,diff
7857_11551,diff
6845_1685,diff
9165_10868,diff
5210_13069,diff
8428_11,same
7432_9209,diff
4712_5799,diff
389_2948,same
3950_2359,diff
5270_7021,same
8194_11821,diff
408_2390,same
3784_8569,same
7417_4218,diff
9989_12016,same
7794_12343,diff
2681_5678,same
11790_7801,same
256_4011,same
5090_11312,diff
9853_9006,same
886_199,same
2005_12713,same
2250_1419,same
2133_1143,same
10392_4897,diff
10436_4539,diff
7940_12270,diff
5961_4612,same
12414_9545,same
2317_5720,diff
333_791,diff
9905_3988,same
10208_7163,same
959_8440,same
384_8810,same
11559_5695,same
6839_2899,diff
9110_11212,diff
8010_5507,same
2114_9445,same
4276_3492,diff
12020_3402,diff
9191_7373,same
5118_11346,diff
1453_3174,same
8277_7934,same
12047_12690,same
7427_762,same
9088_701,diff
10161_7602,same
1234_8790,same
10365_10757,diff
4767_4470,same
9738_12694,diff
11682_2599,same
81_7038,same
7498_6594,diff
741_8471,same
11593_1223,diff
5008_12115,diff
5937_8931,diff
8609_10165,diff
3436_702,diff
3435_6138,same
1932_8374,same
5527_10474,same
598_6330,same
8986_244,same
394_7261,diff
5920_9377,diff
2989_3409,diff
2712_3073,same
6332_8645,diff
4030_11963,diff
13075_3154,diff
13130_7763,same
394_1765,diff
7203_3236,diff
12312_7894,same
650_7323,same
4698_11444,same
1631_5561,same
10417_1199,same
5479_5769,same
761_5657,diff
4108_445,diff
11677_277,diff
5427_5664,diff
2181_1979,diff
5090_4463,diff
1892_7131,same
6416_8057,diff
8287_5375,same
8903_3544,diff
11026_3284,same
339_4896,diff
10097_8261,same
9137_13099,diff
6681_7062,diff
209_6283,same
10350_8327,same
5657_3899,diff
11109_3387,same
565_13219,same
12568_5660,same
8793_6330,same
7414_8655,diff
4031_7587,diff
8884_2329,diff
11654_5129,same
5980_8305,same
9664_10904,same
8930_11160,diff
4812_1930,diff
187_4484,same
6681_7640,diff
7836_8209,diff
9615_8510,diff
679_7287,same
2261_5057,diff
7027_7807,diff
11235_11783,diff
12022_6128,same
1934_5938,same
9699_11461,same
1940_6427,diff
1469_8372,same
1296_12181,diff
7134_484,same
3211_9933,same
935_10637,diff
10344_7006,same
6468_13132,same
8290_1974,same
13073_12910,same
184_1683,same
792_9322,diff
6462_2491,diff
12734_82,same
4768_12606,same
6467_10293,diff
5359_11346,diff
3142_9944,diff
10583_11826,same
2020_5042,diff
1751_6107,diff
695_10197,diff
7463_11080,diff
12157_555,diff
10857_1744,same
6557_6628,same
9409_10729,same
957_15,same
4449_7702,diff
9059_6976,diff
5434_11483,same
8422_8741,diff
7991_6430,diff
2306_7847,same
12711_7202,same
9813_10211,same
5660_318,same
8453_6559,diff
11487_11451,same
1766_9118,diff
7831_2765,same
1084_11942,diff
7859_10081,same
1202_12378,same
959_3341,same
10901_13180,same
4232_4752,diff
11109_2706,same
44_9754,diff
11619_12014,same
10704_9799,same
5345_10986,diff
7137_6823,diff
12097_5196,same
7050_4461,same
11585_5319,same
6631_618,diff
13181_1583,diff
10427_7659,same
10128_4199,same
7507_9966,diff
5531_6888,same
9582_5322,diff
7083_3702,same
5767_5078,diff
2532_7854,diff
6662_4203,same
3028_3111,diff
11240_6849,diff
4534_1425,same
9776_9509,same
3775_3807,diff
4462_1537,same
408_11446,diff
95_9217,same
11560_2257,same
709_4574,diff
8778_10019,same
12765_5486,diff
8682_433,same
11455_9577,diff
11076_8488,diff
6497_1076,diff
12034_9679,same
4859_2492,same
8448_1186,diff
5948_11685,diff
9504_6427,same
5166_3589,same
10780_5532,same
32_11008,diff
4286_8322,diff
5997_7925,same
12010_4030,diff
5870_2077,diff
6555_3107,same
12291_10538,diff
9741_283,diff
5226_2674,diff
3749_7731,diff
12610_2369,same
4892_8141,diff
25_7812,diff
10712_171,same
12862_280,same
4276_10199,diff
7963_7045,diff
1796_2899,diff
3143_8888,diff
9865_2801,same
3820_6642,diff
675_2571,same
8473_10332,diff
5166_10325,same
6942_1360,diff
7518_5857,diff
9087_8623,diff
9529_1375,diff
8571_7302,same
10898_8063,diff
4850_6026,diff
5236_12943,diff
10789_4859,diff
1191_8991,same
522_2034,diff
12019_7993,same
4197_1352,same
12153_2804,diff
918_11500,diff
13122_6417,same
2057_1532,same
12365_8626,same
11123_6886,diff
3997_6890,same
5999_422,same
88_6740,diff
11198_7578,diff
12767_11400,diff
11650_7310,diff
9879_8312,same
7049_4417,diff
3693_997,same
6274_12990,same
6990_12560,same
8017_5528,same
11182_3176,diff
10636_1019,diff
10415_5436,same
1880_3390,same
2582_5580,same
2299_8102,same
1441_11445,diff
348_9571,diff
13066_3491,same
9159_9201,diff
8048_8127,same
12637_2071,diff
3033_3354,diff
8126_12833,same
1956_11231,diff
6502_8205,diff
7503_1698,same
4103_3646,diff
1694_1737,same
9180_2545,diff
10746_7604,diff
10970_5917,diff
568_11613,diff
12966_10636,diff
8681_11170,same
12427_2601,diff
1597_1935,same
11005_10659,diff
9971_6812,same
9075_664,same
1445_5685,diff
3280_8340,diff
3465_9873,same
6030_3752,same
2818_2989,diff
2974_12673,same
6303_10201,diff
6113_7754,diff
3040_2086,diff
406_6229,diff
4687_2016,same
3917_3626,same
10728_0,diff
146_9614,diff
5242_3102,same
4332_6898,diff
10175_11350,diff
2306_12444,same
11226_6456,same
2955_10848,diff
8843_9470,same
11687_120,same
3349_2082,diff
3944_3037,same
7760_5822,diff
12333_7760,diff
10317_8657,diff
7273_4646,diff
12927_6011,same
8903_12751,diff
2792_4948,same
13001_1854,same
2249_10868,diff
12400_369,diff
12763_11763,same
8796_270,diff
3503_13197,same
3814_831,same
10719_8050,diff
8307_9187,same
3905_10904,same
2385_5489,same
3970_5322,same
4757_9611,same
8946_1916,same
5495_4402,same
8733_12901,diff
826_7322,same
11512_6358,diff
7410_1384,diff
9999_11511,same
2545_10545,diff
3138_3777,diff
11303_7092,diff
7892_6038,diff
3274_3296,diff
12130_8421,same
5993_4314,same
477_10665,same
8856_7219,same
10831_8018,same
7714_3047,diff
3517_9566,same
4012_12838,same
8312_9734,same
1583_806,same
3134_3891,same
3024_8465,same
6539_1669,same
1168_8934,same
3257_8873,same
9159_5812,diff
1192_2970,diff
1646_4962,diff
4275_7997,same
11362_3575,diff
12166_11836,same
7003_2539,same
7926_12739,diff
9392_4235,same
5183_9953,diff
9744_1179,diff
8897_12613,same
3117_3278,diff
10978_9510,same
8630_1634,same
12366_11900,same
11589_3380,same
9540_9998,same
13035_8647,same
416_11061,diff
4815_11900,diff
12763_9425,diff
12925_4787,same
8733_12123,diff
7555_7148,same
3767_9382,diff
5231_11694,diff
8712_10672,same
8091_10267,diff
8881_9693,diff
4737_3338,same
6176_851,diff
11813_2194,same
9098_917,same
90_10499,diff
8387_2481,diff
2579_9607,diff
11585_12825,same
1321_2985,diff
3831_3646,same
3621_6873,diff
9746_10036,same
11071_462,diff
1493_13000,same
9008_10228,diff
48_551,same
12075_2908,diff
2183_5242,same
13005_11900,same
2618_8790,same
12487_832,same
12940_6262,same
6990_6766,same
3983_5125,diff
12993_1639,diff
2472_11230,same
4225_4568,diff
9603_1483,diff
5942_4082,same
5636_12263,same
3064_3286,diff
12976_10934,diff
3091_12985,same
7718_9641,same
6822_184,diff
6202_9603,same
161_12907,diff
9497_2828,same
10508_13167,same
2924_4647,diff
8275_11497,same
4632_6709,same
6518_5590,same
2170_2604,same
5211_4971,diff
11368_1273,diff
11463_5392,diff
1594_4699,same
1202_5888,same
6909_1501,diff
5674_1443,diff
11536_10390,diff
5822_550,diff
6453_4004,same
12832_5717,same
1991_10246,diff
2508_11315,same
12966_4390,same
849_9246,same
8671_6143,diff
3881_10538,diff
12275_9533,diff
7859_3310,same
6923_9189,same
3724_2263,same
6230_4896,diff
801_7632,diff
12848_12517,same
2913_1196,same
4892_11699,diff
11297_5785,diff
8028_3515,same
639_283,diff
6450_6614,diff
5925_7700,same
9061_8034,diff
3029_7509,diff
6491_12697,diff
6870_9403,same
5352_6394,same
11398_6219,diff
9049_2481,diff
4303_6338,same
2989_6441,diff
9073_2846,same
8576_7464,diff
1117_10762,same
1952_6201,same
2003_13108,diff
3242_4053,diff
6349_7506,same
5841_4895,same
12970_13099,diff
4313_8045,same
1446_2598,diff
12965_10411,same
3468_11835,same
4967_6334,diff
4169_55,same
7785_3625,same
10652_5378,same
11053_8622,diff
9389_4826,same
9725_11701,same
6345_6712,diff
3612_7811,diff
2986_8682,diff
925_2554,same
113_7107,diff
7027_8909,diff
742_9168,same
2082_5335,diff
10373_9504,diff
7191_7789,same
2939_4816,diff
3682_6923,diff
9222_9,diff
4736_11369,diff
301_3923,diff
12792_2662,same
7199_12282,same
11_102,same
89_7782,diff
8186_3144,diff
9726_8579,diff
10486_10476,same
12309_6617,same
9015_3335,same
243_12461,same
7955_4353,diff
9668_6107,diff
3520_9853,diff
6178_9785,diff
5083_12531,same
11078_56,same
2566_8493,diff
634_9105,same
2432_10174,diff
3031_3287,diff
8877_11086,same
12131_10698,same
9205_2804,diff
10934_12310,diff
10370_528,diff
4258_4782,diff
9699_11941,same
10729_4942,same
8048_8272,same
1407_3858,same
2568_6934,diff
12801_5361,diff
12406_8368,same
130_2575,diff
10998_4684,same
5007_710,same
8274_12330,diff
5364_8860,same
11428_11195,same
8125_1259,same
1120_791,diff
4232_2913,diff
8945_3061,same
12728_11703,same
247_11892,same
5320_11038,diff
3605_601,diff
12839_4395,diff
8557_8928,diff
10978_7045,same
4084_4233,same
10954_7946,same
8496_9918,diff
3402_1367,same
11885_3364,same
6681_13066,diff
9380_1532,same
3114_3123,diff
12607_1649,same
2722_7967,same
669_2882,diff
8778_9931,diff
12483_5933,same
11144_7699,diff
1911_12330,diff
1074_8071,same
5767_10644,diff
12000_7936,diff
9048_1332,same
8910_10500,same
11205_8659,same
3267_7963,diff
2274_8623,diff
3033_543,diff
12062_966,diff
12290_4296,same
1912_3914,same
9490_6930,same
2421_8699,diff
12701_4277,same
10399_7595,diff
737_7928,same
2196_12986,diff
9495_11775,diff
12262_10665,same
9469_9428,same
4250_127,same
8573_5180,diff
11799_10714,diff
5039_643,same
2105_11987,same
13034_11585,same
3396_394,diff
8137_12728,same
10137_3701,same
3246_3544,same
6262_3607,same
3704_11099,diff
4502_1991,diff
12030_7641,same
10848_12168,diff
386_8385,same
3522_5894,same
117_7013,same
9496_8471,same
8821_8939,same
8947_1364,diff
9342_6391,same
9466_3701,diff
9962_469,diff
3341_8440,same
4737_7168,same
4848_10863,diff
13045_5505,same
9836_3201,same
3296_2626,same
8979_7961,diff
1103_4646,diff
11205_857,diff
1918_11816,diff
10667_10503,same
7277_2219,diff
2095_7677,same
4892_3617,diff
4352_12669,same
318_7058,diff
7664_2171,same
4457_4496,diff
6555_2764,diff
13216_10050,same
4152_6788,same
7902_5976,diff
5975_2086,diff
12154_5657,diff
5335_6055,same
1293_2959,diff
3105_5388,same
1808_12208,diff
4527_288,same
8465_4957,diff
12291_5293,diff
6619_7394,diff
2397_7544,same
6979_12680,diff
13210_8981,diff
3552_11907,diff
7568_3527,diff
2605_9773,same
4699_11080,diff
878_2601,diff
8168_8400,same
8194_11184,diff
799_12794,diff
10320_10595,same
12578_5191,same
1041_429,same
9944_5674,diff
11920_9432,diff
5305_9324,same
8850_7894,diff
11754_7816,diff
7158_12196,diff
2721_1001,same
4974_11684,same
12601_8671,diff
4348_4396,same
8355_7436,same
12842_3621,same
6868_11309,same
8489_7168,diff
4672_666,same
5796_4257,diff
4031_9471,diff
8795_8322,diff
8946_2211,same
1798_12576,diff
2573_7641,same
7314_8355,diff
1519_6873,diff
8254_10436,diff
4842_11774,same
12095_7789,same
7940_1223,diff
4006_7760,diff
7719_1335,same
11907_4701,diff
452_7869,same
1121_12614,diff
8288_9310,diff
10373_12795,diff
1998_8267,same
11573_5865,same
11571_4186,diff
12451_7675,same
6455_367,same
144_8934,same
4815_5980,diff
